symboling,normalized-losses,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,car_density
2.3333333333333335,,2.0,90.56666666666666,169.6,64.56666666666666,50.0,2639.6666666666665,4.666666666666667,137.33333333333334,3.206666666666667,2.9433333333333334,9.0,125.33333333333333,5000.0,20.333333333333332,26.666666666666668,15498.333333333334,207.53435906630014
1.2857142857142858,161.0,3.4285714285714284,102.27142857142857,183.82857142857142,68.71428571428571,54.42857142857143,2800.714285714286,4.857142857142857,130.71428571428572,3.172857142857143,3.4,8.4,121.0,5500.0,18.857142857142858,24.142857142857142,17859.166666666668,247.18638871212892
0.375,190.0,3.25,103.1625,184.5,66.475,54.825,2929.375,5.5,166.875,3.47375,3.1675,8.575,138.875,5068.75,19.375,25.375,26118.75,232.00414057291752
1.0,100.0,2.6666666666666665,92.46666666666665,151.93333333333334,62.5,52.4,1757.0,3.6666666666666665,80.33333333333333,2.9899999999999998,3.0833333333333335,9.566666666666666,62.666666666666664,5300.0,41.0,46.333333333333336,6007.0,284.8114023934052
1.0,133.44444444444446,3.0,95.01111111111112,160.9888888888889,64.16666666666667,51.644444444444446,2151.3333333333335,4.0,102.66666666666667,3.0944444444444446,3.3655555555555554,8.634444444444446,86.33333333333333,5388.888888888889,28.0,34.111111111111114,7875.444444444444,250.53142945444748
0.6153846153846154,103.0,2.769230769230769,94.33076923076922,160.76923076923077,64.38461538461539,53.23846153846154,2096.769230769231,4.0,99.3076923076923,3.0215384615384617,3.462307692307692,9.215384615384615,80.23076923076923,5753.846153846154,30.384615384615383,35.46153846153846,8184.692307692308,263.88530147330005
0.75,,3.0,94.825,163.775,63.55,52.225,2213.5,4.0,102.5,3.2,3.17,9.225,77.0,5150.0,31.0,36.0,8916.5,249.5709836747704
0.0,145.0,3.3333333333333335,109.33333333333333,196.96666666666667,69.93333333333332,51.133333333333326,4027.3333333333335,8.0,280.6666666666667,3.6,3.6999999999999997,9.233333333333333,204.66666666666666,4833.333333333333,14.333333333333334,18.333333333333332,34600.0,174.85953350924925
1.1176470588235294,123.93333333333334,2.875,97.01764705882353,170.80588235294118,65.58823529411765,53.358823529411765,2297.823529411765,3.5294117647058822,103.0,3.2869230769230766,3.2992307692307694,10.488235294117647,85.52941176470588,5108.823529411765,25.705882352941178,31.941176470588236,10652.882352941177,262.77685245516386
0.0,102.8,3.25,110.925,195.2625,71.0625,55.725,3696.25,6.5,226.5,3.605,3.4325,14.825,146.25,4487.5,18.5,21.0,33647.0,209.40779761783654
1.0,,2.0,102.7,178.4,68.0,54.8,2910.0,4.0,140.0,3.78,3.12,8.0,175.0,5000.0,19.0,24.0,16503.0,228.45008934707903
1.8461538461538463,146.2,2.6153846153846154,95.35384615384615,168.03076923076924,65.25384615384615,50.69230769230769,2381.923076923077,4.0,118.3076923076923,3.2507692307692304,3.493846153846154,8.061538461538461,104.07692307692308,5269.2307692307695,24.923076923076923,31.153846153846153,9239.76923076923,236.41320636759667
1.0,135.16666666666666,3.0,95.72222222222223,170.9888888888889,65.08888888888889,53.63333333333333,2400.3888888888887,4.666666666666667,127.88888888888889,3.2544444444444443,3.3133333333333335,9.794444444444444,102.55555555555556,5177.777777777777,27.0,32.94444444444444,10415.666666666666,257.74718673385513
0.0,161.0,4.0,110.2,191.13636363636363,68.39090909090909,57.18181818181818,3221.0,4.0,135.8181818181818,3.582727272727273,3.1599999999999997,14.0,99.81818181818181,4668.181818181818,22.454545454545453,26.636363636363637,15489.09090909091,232.24458197551294
1.0,129.0,3.142857142857143,95.38571428571429,164.9,64.27142857142857,51.971428571428575,2220.8571428571427,4.0,106.28571428571429,3.1214285714285714,3.3757142857142854,8.671428571428573,86.71428571428571,5357.142857142857,28.142857142857142,34.142857142857146,7963.428571428572,250.6100004400545
2.6,186.0,2.0,92.28,170.26,67.12,51.1,2891.2,6.0,187.2,3.8200000000000003,2.984,9.6,210.4,5790.0,17.4,26.0,31400.5,202.49165064029233
1.0,,3.0,96.1,179.15,66.55,52.85,2519.5,4.0,132.0,3.46,3.9,8.7,,,23.0,31.0,9595.0,250.02836983516016
2.5,127.0,3.0,99.09999999999998,186.6,66.5,56.1,2745.5,4.0,121.0,3.3733333333333335,2.903333333333333,9.201666666666666,126.66666666666667,5333.333333333333,20.333333333333332,27.333333333333332,15223.333333333334,253.70178429292386
0.5,92.25,3.5,96.175,168.85833333333332,64.95,53.75,2316.25,4.0,107.08333333333333,3.6199999999999997,2.6166666666666667,8.816666666666666,86.25,4775.0,26.333333333333332,30.75,8541.25,255.13890064448358
0.5625,110.29032258064517,3.125,98.103125,171.934375,65.090625,53.721875,2441.09375,4.25,118.8125,3.28,3.255,10.340625,92.78125,4859.375,27.5,32.90625,9885.8125,249.37576472612358
1.6666666666666667,121.25,3.3333333333333335,97.60833333333333,172.53333333333333,65.61666666666666,55.18333333333334,2343.1666666666665,4.083333333333333,107.25,3.1300000000000003,3.4,13.625,81.08333333333333,5154.166666666667,28.583333333333332,34.916666666666664,10077.5,267.2141830083352
-1.2727272727272727,91.45454545454545,4.0,106.48181818181818,188.8,67.96363636363637,56.23636363636364,3037.909090909091,4.363636363636363,142.27272727272728,3.6627272727272726,3.147272727272727,10.227272727272727,128.0,5290.909090909091,21.181818181818183,25.818181818181817,18063.18181818182,237.6561482228507
